"DocEntry","InstlmntID","ObjType","LogInstanc","DueDate","Status","DunnLevel","InsTotal","InsTotalFC","InsTotalSy","PaidToDate","PaidFC","PaidSys","VatSum","VatSumFC","VatSumSy","VatPaid","VatPaidFC","VatPaidSys","TotalExpns","TotalExpFC","TotalExpSC","ExpAppl","ExpApplFC","ExpApplSC","WTSum","WTSumFC","WTSumSC","WTApplied","WTAppliedF","WTAppliedS","TotalBlck","TotalBlckF","TotalBlckS","VATBlck","VATBlckFC","VATBlckSC","ExpnsBlck","ExpnsBlckF","ExpnsBlckS","WTBlocked","WTBlockedF","WTBlockedS","InstPrcnt","DunWizBlck","DunDate","Paid","PaidFrgn","PaidSc","reserved","TaxOnExp","TaxOnExpFc","TaxOnExpSc","TaxOnExpAp","TaxOnExApF","TaxOnExApS","TaxOnExBlo","TaxOnExBlF","TaxOnExBlS","LvlUpdDate","Ordered","PaidDpm","PaidDpmFc","PaidDpmSc"
40,1,"18",0,"2019-11-04 00:00:00.000000000","O",0,"5600.000000","5600.000000","5600.000000","0.000000","0.000000","0.000000","600.000000","600.000000","600.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
41,1,"18",0,"2019-11-04 00:00:00.000000000","O",0,"10045.000000","10045.000000","10045.000000","0.000000","0.000000","0.000000","1345.000000","1345.000000","1345.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
48,1,"17",0,"2020-03-31 00:00:00.000000000","O",0,"736320.000000","0.000000","736320.000000","0.000000","0.000000","0.000000","112320.000000","0.000000","112320.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
106,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"283200.000000","0.000000","283200.000000","0.000000","0.000000","0.000000","43200.000000","0.000000","43200.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
89,1,"17",0,"2020-12-15 00:00:00.000000000","O",0,"75104.640000","0.000000","75104.640000","0.000000","0.000000","0.000000","11456.640000","0.000000","11456.640000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
91,1,"17",0,"2020-12-15 00:00:00.000000000","O",0,"224061.940000","0.000000","224061.940000","0.000000","0.000000","0.000000","34178.940000","0.000000","34178.940000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
116,1,"17",0,"2021-03-31 00:00:00.000000000","O",0,"171100.000000","0.000000","171100.000000","0.000000","0.000000","0.000000","26100.000000","0.000000","26100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
90,1,"17",0,"2020-12-15 00:00:00.000000000","O",0,"234108.220000","0.000000","234108.220000","0.000000","0.000000","0.000000","35711.420000","0.000000","35711.420000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
101,1,"17",0,"2020-10-01 00:00:00.000000000","O",0,"407974.380000","0.000000","407974.380000","0.000000","0.000000","0.000000","62233.380000","0.000000","62233.380000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
102,1,"17",0,"2020-10-02 00:00:00.000000000","O",0,"283200.000000","0.000000","283200.000000","0.000000","0.000000","0.000000","43200.000000","0.000000","43200.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
117,1,"17",0,"2021-01-01 00:00:00.000000000","O",0,"76700.000000","0.000000","76700.000000","0.000000","0.000000","0.000000","11700.000000","0.000000","11700.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
119,1,"17",0,"2023-08-01 00:00:00.000000000","O",0,"107200.000000","0.000000","107200.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
120,1,"18",0,"2023-04-07 00:00:00.000000000","O",0,"387394.000000","387394.000000","387394.000000","0.000000","0.000000","0.000000","59094.000000","59094.000000","59094.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
121,1,"18",0,"2024-05-16 00:00:00.000000000","O",0,"354564.000000","354564.000000","354564.000000","0.000000","0.000000","0.000000","59094.000000","59094.000000","59094.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","32830.000000","32830.000000","32830.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
38,1,"18",0,"2019-10-22 00:00:00.000000000","O",0,"12723.940000","12723.940000","12723.940000","0.000000","0.000000","0.000000","1940.940000","1940.940000","1940.940000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
39,1,"18",0,"2019-11-04 00:00:00.000000000","O",0,"301679.160000","301679.160000","301679.160000","0.000000","0.000000","0.000000","46018.860000","46018.860000","46018.860000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
92,1,"17",0,"2020-12-15 00:00:00.000000000","O",0,"69457.760000","0.000000","69457.760000","0.000000","0.000000","0.000000","10595.260000","0.000000","10595.260000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
118,1,"17",0,"2021-03-31 00:00:00.000000000","O",0,"29500.000000","0.000000","29500.000000","0.000000","0.000000","0.000000","4500.000000","0.000000","4500.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
52,1,"17",0,"2020-03-15 00:00:00.000000000","O",0,"506810.000000","0.000000","506810.000000","0.000000","0.000000","0.000000","77310.000000","0.000000","77310.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
