"PROJECTCODE","PROJECTNAME","PROJECTFULLNAME"
"CR|PJ186","IMP & AMC21_REL_E-LOGBOOK AT REL","IMP & AMC21_REL_E-LOGBOOK AT REL(CR|PJ186)"
"CR|PJ251","DEV_INT_IAM IMPLEMENTATION","DEV_INT_IAM IMPLEMENTATION(CR|PJ251)"
"CR|PJ252","INT_DEV_C MAINTENANCE","INT_DEV_C MAINTENANCE(CR|PJ252)"
"CR|PJ253","INT_DEV_CMAINTENANCE_S4/HANA DEPLOYMENT","INT_DEV_CMAINTENANCE_S4/HANA DEPLOYMENT(CR|PJ253)"
"CR|PJ257","IMP_COMMSCOPE_FIORI APP","IMP_COMMSCOPE_FIORI APP(CR|PJ257)"
"CR|PJ255","DEV_INT_TRAINING","DEV_INT_TRAINING(CR|PJ255)"
"CR|PJ256","IMP_T&M_APSL_SAP PROJECT COORDINATION","IMP_T&M_APSL_SAP PROJECT COORDINATION(CR|PJ256)"
"CR|PJ254","INT_DEV_ELOGBOOK","INT_DEV_ELOGBOOK(CR|PJ254)"
"CR|PJ258","IMP_COMMSCOPE_INNOVATION","IMP_COMMSCOPE_INNOVATION(CR|PJ258)"
"CR|PJ259","IMP_DRL_NRGP","IMP_DRL_NRGP(CR|PJ259)"
"CR|PJ260","IMP_DOMINOS PIZZA_CREDIT MANAGEMENT DESIGN","IMP_DOMINOS PIZZA_CREDIT MANAGEMENT DESIGN(CR|PJ260)"
"CR|PJ261","IMP_COMMSCOPE","IMP_COMMSCOPE(CR|PJ261)"
"CR|PJ262","IMP_KEYFOODS_FIORI APPLICATION DEVELOPMENT","IMP_KEYFOODS_FIORI APPLICATION DEVELOPMENT(CR|PJ262)"
"CR|PJ263","CR|PJ181 /AMC21_SUNPHARMA_PM & CALIBRATION","CR|PJ181 /AMC21_SUNPHARMA_PM & CALIBRATION(CR|PJ263)"
"CR|PJ264","INT_DEV_DWMS DEMO","INT_DEV_DWMS DEMO(CR|PJ264)"
"CR|PJ265","INT_BTP GOTO MARKET","INT_BTP GOTO MARKET(CR|PJ265)"
"CR|PJ266","IMP_BIOCON_CMAINTENANCE","IMP_BIOCON_CMAINTENANCE(CR|PJ266)"
"CR|PJ267","IMP_DOMINO PIZZA_CREDIT MANAGEMENT EPIC1","IMP_DOMINO PIZZA_CREDIT MANAGEMENT EPIC1(CR|PJ267)"
"CR|PJ270","IMP_APL_E-LOGBOOK MIGRATION","IMP_APL_E-LOGBOOK MIGRATION(CR|PJ270)"
"CR|PJ269","IMP_DRL_WMS_VAPT","IMP_DRL_WMS_VAPT(CR|PJ269)"
"CR|PJ268","IMP_BIOCON_SAP PM (T&M)","IMP_BIOCON_SAP PM (T&M)(CR|PJ268)"
"CR|PJ272","AMC22_ADANI-POWER(MUNDRA) LTD_ELOGBOOK","AMC22_ADANI-POWER(MUNDRA) LTD_ELOGBOOK(CR|PJ272)"
"CR|PJ271","IMP_SUNPHARMA_MDM SUPPORT","IMP_SUNPHARMA_MDM SUPPORT(CR|PJ271)"
"CR|PJ276","IMP_DRL_T&M_ABAP2","IMP_DRL_T&M_ABAP2(CR|PJ276)"
"CR|PJ274","IMP_DRL_T&M_ABAP1","IMP_DRL_T&M_ABAP1(CR|PJ274)"
"CR|PJ152","IMP_SUN PHARMA_STAFFING T & M BASIS(ABAP)","IMP_SUN PHARMA_STAFFING T & M BASIS(ABAP)(CR|PJ152)"
"CR|PJ273","CR06_DRL_WMS","CR06_DRL_WMS(CR|PJ273)"
"CR|PJ277","BD_DOMINO_ EPOD POC","BD_DOMINO_ EPOD POC(CR|PJ277)"
"CR|PJ278","IMP_VADILAL_WMS","IMP_VADILAL_WMS(CR|PJ278)"
"CR|PJ279","IMP_COMSCOPE_SIDE CAR BTP","IMP_COMSCOPE_SIDE CAR BTP(CR|PJ279)"
"CR|PJ280","INT_US_ACCOUNTING","INT_US_ACCOUNTING(CR|PJ280)"
"CR|PJ281","INT_ZEBRA","INT_ZEBRA(CR|PJ281)"
"CR|PJ282","IMP_SANOFI_HW_SHIPPER VESSEL","IMP_SANOFI_HW_SHIPPER VESSEL(CR|PJ282)"
"CR|PJ283","Test Project","Test Project(CR|PJ283)"
"CR|PJ284","NGP Test  Project","NGP Test  Project(CR|PJ284)"
"CR|PJ285","INT_TEST_Project","INT_TEST_Project(CR|PJ285)"
"CR|PJ286","IMP_ITL_Hardware","IMP_ITL_Hardware(CR|PJ286)"
"CR|PJ287","INT_COST_TEST","INT_COST_TEST(CR|PJ287)"
"CR|PJ288","RAVI_TEAT","RAVI_TEAT(CR|PJ288)"
"CR|PJ289","EMPRATE_TEST","EMPRATE_TEST(CR|PJ289)"
"CR|PJ290","DEV_TIMESHEET_PROJECT","DEV_TIMESHEET_PROJECT(CR|PJ290)"
"CR|PJ291","IPM_ABC_COMPANY","IPM_ABC_COMPANY(CR|PJ291)"
"CR|PJ292","IMP_Local Link","IMP_Local Link(CR|PJ292)"
"CR|PJ293","IMP_Unity Hub","IMP_Unity Hub(CR|PJ293)"
"CR|PJ294","IMP_Social Circle","IMP_Social Circle(CR|PJ294)"
"CR|PJ295","TIMESHEET_GROUP_ACTIVITIES","TIMESHEET_GROUP_ACTIVITIES(CR|PJ295)"
