"FormNo","Code","UserSign","ExNumData1","ExNumData2","ExNumData3","ExStrData1","ExStrData2","ExStrData3","FilterName"
"234000076","28",176,1,,,"N",,,"_"
"234000076","29",176,1,,,"N",,,"_"
"234000076","3",176,1,,,"N",,,"_"
"234000076","30",176,1,,,"N",,,"_"
"234000076","31",176,1,,,"N",,,"_"
"234000076","32",176,1,,,"N",,,"_"
"234000076","33",176,1,,,"N",,,"_"
"234000076","34",176,1,,,"Y",,,"_"
"234000076","35",176,1,,,"N",,,"_"
"234000076","36",176,1,,,"N",,,"_"
"234000076","37",176,1,,,"N",,,"_"
"234000076","38",176,1,,,"N",,,"_"
"234000076","4",176,1,,,"N",,,"_"
"234000076","5",176,1,,,"N",,,"_"
"234000076","6",176,1,,,"N",,,"_"
"234000076","7",176,1,,,"N",,,"_"
"234000076","8",176,1,,,"N",,,"_"
"234000076","9",176,1,,,"N",,,"_"
"40005","176",176,0,0,,"Y","Y",,"_"
"857","BPL-3",146,3,,,,,,"_"
"870","BPL-3",146,3,,,,,,"_"
"757","604+2",85,1,3,-1,"","","O1+A1+C107+B0","_"
"857","BPL-3",85,3,,,,,,"_"
"870","BPL-3",85,3,,,,,,"_"
