"DOCTYPE","DOCENTRY","LINENUM","CARDCODE","SALESEMPLOYEE","COUNTRYCODE","POSTINGDATE","DUEDATE","DOCUMENTDATE","ITEMCODE","WAREHOUSECODE","QUANTITY","SALESAMOUNT","SALESAMOUNTSC","BASEAMOUNT","GROSSPROFIT","GROSSPROFITSC","PERIOD","PROJECT"
13,116,5,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","31964.500000","31964.500000","31964.500000","0.000000","0.000000","FY201819-08","CR|098"
13,116,4,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","200000.000000","200000.000000","200000.000000","0.000000","0.000000","FY201819-08","CR|PJ071"
13,116,3,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","6392.900000","6392.900000","6392.900000","0.000000","0.000000","FY201819-08","CR|PJ054"
13,116,2,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","153429.600000","153429.600000","153429.600000","0.000000","0.000000","FY201819-08","CR|PJ061"
13,116,1,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","19178.700000","19178.700000","19178.700000","0.000000","0.000000","FY201819-08","CR|PJ015"
13,116,0,"C00004",-1,"US","2018-11-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-15 00:00:00.000000000",,,"0.000000","191787.000000","191787.000000","191787.000000","0.000000","0.000000","FY201819-08","CR|PJ093"
13,115,6,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","500000.000000","500000.000000","500000.000000","0.000000","0.000000","FY201819-08","CR|PJ106"
13,115,5,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","31964.500000","31964.500000","31964.500000","0.000000","0.000000","FY201819-08","CR|098"
13,115,4,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","200000.000000","200000.000000","200000.000000","0.000000","0.000000","FY201819-08","CR|PJ071"
13,115,3,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","6392.900000","6392.900000","6392.900000","0.000000","0.000000","FY201819-08","CR|PJ054"
13,115,2,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","153429.600000","153429.600000","153429.600000","0.000000","0.000000","FY201819-08","CR|PJ061"
13,115,1,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","19178.700000","19178.700000","19178.700000","0.000000","0.000000","FY201819-08","CR|PJ015"
13,115,0,"C00004",-1,"US","2018-11-05 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-11-05 00:00:00.000000000",,,"0.000000","153429.600000","153429.600000","153429.600000","0.000000","0.000000","FY201819-08","CR|PJ093"
13,91,8,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","1394.000000","1394.000000","1394.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,7,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","19858.000000","19858.000000","19858.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,0,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","14645.000000","14645.000000","14645.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,1,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","1344.000000","1344.000000","1344.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,2,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","4233.000000","4233.000000","4233.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,3,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","3481.000000","3481.000000","3481.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,4,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","15597.000000","15597.000000","15597.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,5,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","1125.000000","1125.000000","1125.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,91,6,"C00007",-1,"IN","2018-10-01 00:00:00.000000000","2018-10-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","2738.000000","2738.000000","2738.000000","0.000000","0.000000","FY201819-07","CR|PJ103"
13,113,6,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","500000.000000","500000.000000","500000.000000","0.000000","0.000000","FY201819-07","CR|PJ106"
13,113,5,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","31964.500000","31964.500000","31964.500000","0.000000","0.000000","FY201819-07","CR|098"
13,113,4,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","200000.000000","200000.000000","200000.000000","0.000000","0.000000","FY201819-07","CR|PJ071"
13,113,3,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","6392.900000","6392.900000","6392.900000","0.000000","0.000000","FY201819-07","CR|PJ054"
13,113,2,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","306859.200000","306859.200000","306859.200000","0.000000","0.000000","FY201819-07","CR|PJ061"
13,113,1,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","19178.700000","19178.700000","19178.700000","0.000000","0.000000","FY201819-07","CR|PJ015"
13,113,0,"C00004",-1,"US","2018-10-15 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-15 00:00:00.000000000",,,"0.000000","153429.600000","153429.600000","153429.600000","0.000000","0.000000","FY201819-07","CR|PJ093"
13,111,0,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","263387.480000","263387.480000","263387.480000","0.000000","0.000000","FY201819-07","CR|PJ093"
13,111,1,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","19178.700000","19178.700000","19178.700000","0.000000","0.000000","FY201819-07","CR|PJ015"
13,111,2,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","306859.200000","306859.200000","306859.200000","0.000000","0.000000","FY201819-07","CR|PJ061"
13,111,3,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","6392.900000","6392.900000","6392.900000","0.000000","0.000000","FY201819-07","CR|PJ054"
13,111,4,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","200000.000000","200000.000000","200000.000000","0.000000","0.000000","FY201819-07","CR|PJ071"
13,111,5,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","31964.500000","31964.500000","31964.500000","0.000000","0.000000","FY201819-07","CR|098"
13,111,6,"C00004",-1,"US","2018-10-01 00:00:00.000000000","2018-11-30 00:00:00.000000000","2018-10-01 00:00:00.000000000",,,"0.000000","500000.000000","500000.000000","500000.000000","0.000000","0.000000","FY201819-07","CR|PJ106"
13,639,0,"C00036",12,"IN","2020-04-01 00:00:00.000000000","2020-05-15 00:00:00.000000000","2020-05-15 00:00:00.000000000","SER0034","CI01","20.000000","195000.000000","195000.000000","0.000000","195000.000000","195000.000000","FY202021-01","CR|PJ134"
13,639,1,"C00036",12,"IN","2020-04-01 00:00:00.000000000","2020-05-15 00:00:00.000000000","2020-05-15 00:00:00.000000000","SER0055","CI01","1.000000","20000.000000","20000.000000","0.000000","20000.000000","20000.000000","FY202021-01","CR|PJ134"
13,534,0,"C00017",9,"IN","2019-12-01 00:00:00.000000000","2019-12-31 00:00:00.000000000","2019-12-31 00:00:00.000000000","SER0034","CI01","1.000000","138000.000000","138000.000000","0.000000","138000.000000","138000.000000","FY201920-09","CR|PJ152"
13,532,0,"C00017",9,"IN","2019-12-01 00:00:00.000000000","2019-12-31 00:00:00.000000000","2019-12-31 00:00:00.000000000","SER0034","CI01","1.000000","138000.000000","138000.000000","0.000000","138000.000000","138000.000000","FY201920-09","CR|PJ152"
13,669,0,"C00037",12,"IN","2020-06-02 00:00:00.000000000","2020-06-30 00:00:00.000000000","2020-06-30 00:00:00.000000000","SER0034","CI01","63.000000","120960.000000","120960.000000","0.000000","120960.000000","120960.000000","FY202021-03","CR|PJ176"
13,669,1,"C00037",12,"IN","2020-06-02 00:00:00.000000000","2020-06-30 00:00:00.000000000","2020-06-30 00:00:00.000000000","SER0032","CI01","180.000000","316800.000000","316800.000000","0.000000","316800.000000","316800.000000","FY202021-03","CR|PJ176"
13,669,2,"C00037",12,"IN","2020-06-02 00:00:00.000000000","2020-06-30 00:00:00.000000000","2020-06-30 00:00:00.000000000","SER0034","CI01","135.010000","259219.200000","259219.200000","0.000000","259219.200000","259219.200000","FY202021-03","CR|PJ176"
13,669,3,"C00037",12,"IN","2020-06-02 00:00:00.000000000","2020-06-30 00:00:00.000000000","2020-06-30 00:00:00.000000000","SER0034","CI01","171.000000","328320.000000","328320.000000","0.000000","328320.000000","328320.000000","FY202021-03","CR|PJ176"
13,552,0,"C00029",9,"IN","2020-01-06 00:00:00.000000000","2020-02-05 00:00:00.000000000","2020-02-05 00:00:00.000000000","SER0001","CI01","1.000000","8351.000000","8351.000000","0.000000","8351.000000","8351.000000","FY201920-10","CR|PJ150"
13,565,0,"C00006",9,"IN","2020-01-29 00:00:00.000000000","2020-03-15 00:00:00.000000000","2020-03-15 00:00:00.000000000","SER0032","CI01","143.000000","926640.000000","926640.000000","0.000000","926640.000000","926640.000000","FY201920-10","CR|PJ117"
13,622,0,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","168000.000000","168000.000000","0.000000","168000.000000","168000.000000","FY201920-11","CR|PJ093"
13,622,1,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","159600.000000","159600.000000","0.000000","159600.000000","159600.000000","FY201920-11","CR|PJ092"
13,622,3,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","7000.000000","7000.000000","0.000000","7000.000000","7000.000000","FY201920-11","CR|PJ054"
13,622,4,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","16903.330000","16903.330000","0.000000","16903.330000","16903.330000","FY201920-11","CR|PJ125"
13,622,5,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","200000.000000","200000.000000","0.000000","200000.000000","200000.000000","FY201920-11","CR|PJ071"
13,622,6,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","35000.000000","35000.000000","0.000000","35000.000000","35000.000000","FY201920-11","CR|098"
13,622,8,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","99925.000000","99925.000000","0.000000","99925.000000","99925.000000","FY201920-11","CR|PJ153"
13,622,9,"C00004",-1,"US","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","2020-02-29 00:00:00.000000000","SER0073","CI01","1.000000","500000.000000","500000.000000","0.000000","500000.000000","500000.000000","FY201920-11","CR|PJ106"
13,575,0,"C00008",9,"IN","2020-01-30 00:00:00.000000000","2020-02-28 00:00:00.000000000","2020-02-28 00:00:00.000000000","SER0030","CI01","1.000000","25000.000000","25000.000000","0.000000","25000.000000","25000.000000","FY201920-10","CR|PJ064"
13,572,0,"C00006",9,"IN","2020-01-23 00:00:00.000000000","2020-03-15 00:00:00.000000000","2020-03-15 00:00:00.000000000","SER0002","CI01","1.000000","450000.000000","450000.000000","0.000000","450000.000000","450000.000000","FY201920-10","CR|PJ165"
13,503,0,"C00029",9,"IN","2019-11-11 00:00:00.000000000","2019-12-11 00:00:00.000000000","2019-12-11 00:00:00.000000000",,,"0.000000","1100000.000000","1100000.000000","1100000.000000","0.000000","0.000000","FY201920-08","CR|PJ150"
