"DocEntry","LineNum","GroupNum","ExpnsCode","RelateType","StcCode","StaCode","staType","TaxRate","TaxAcct","TaxSum","TaxSumFrgn","TaxSumSys","BaseSum","BaseSumFrg","BaseSumSys","ObjectType","LogInstanc","TaxStatus","VatApplied","VatAppldFC","VatAppldSC","LineSeq","DeferrAcct","BaseType","BaseAbs","BaseSeq","DeductTax","DdctTaxFrg","DdctTaxSys","BaseAppld","BaseApldFC","BaseApldSC","NonDdctPrc","NonDdctAct","TaxInPrice","Exempt","TaxExpAct","OnHoldTax","OnHoldTaxF","OnHoldTaxS","InGrossRev","TaxSumOrg","TaxSumOrgF","TaxSumOrgS","OpenTax","OpenTaxFC","OpenTaxSC","Unencumbrd","TaxOnRI","RvsChrgPrc","RvsChrgTax","RvsChrgSC","RvsChrgFC"
6,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"86204.160000","0.000000","86204.160000","478912.000000","0.000000","478912.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"86204.160000","0.000000","86204.160000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
6,1,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"86204.160000","0.000000","86204.160000","478912.000000","0.000000","478912.000000","17",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"86204.160000","0.000000","86204.160000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
6,2,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"89295.840000","0.000000","89295.840000","496088.000000","0.000000","496088.000000","17",0,"Y","0.000000","0.000000","0.000000",2,,-1,-1,,"89295.840000","0.000000","89295.840000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
6,3,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"71436.600000","0.000000","71436.600000","396870.000000","0.000000","396870.000000","17",0,"Y","0.000000","0.000000","0.000000",3,,-1,-1,,"71436.600000","0.000000","71436.600000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
6,4,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"17859.240000","0.000000","17859.240000","99218.000000","0.000000","99218.000000","17",0,"Y","0.000000","0.000000","0.000000",4,,-1,-1,,"17859.240000","0.000000","17859.240000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
87,2,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"27900.000000","0.000000","27900.000000","155000.000000","0.000000","155000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"27900.000000","0.000000","27900.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
11,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"16848.000000","0.000000","16848.000000","93600.000000","0.000000","93600.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"16848.000000","0.000000","16848.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
11,1,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"15120.000000","0.000000","15120.000000","84000.000000","0.000000","84000.000000","17",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"15120.000000","0.000000","15120.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
11,2,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"53566.380000","0.000000","53566.380000","297591.000000","0.000000","297591.000000","17",0,"Y","0.000000","0.000000","0.000000",2,,-1,-1,,"53566.380000","0.000000","53566.380000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
11,3,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"46964.160000","0.000000","46964.160000","260912.000000","0.000000","260912.000000","17",0,"Y","0.000000","0.000000","0.000000",3,,-1,-1,,"46964.160000","0.000000","46964.160000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
